,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
row1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
row2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
row3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
row6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
row14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row17,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
row18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
row22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
row24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
row25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row29,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
row30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
row41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row43,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
row44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
row51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
row55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
row56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
row62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row66,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row68,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
row71,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
row72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row77,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
row79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0